Ticker,Market_Cap,Quality_Score,Tier,Red_Flags,Gross_Profitability,ROE,ROIC,FCF_Yield,Operating_Profitability
K,28.98B,75.5,Strong,0,0.000,0.000,0.000,0.000,0.000
CORT,7.93B,75.3,Strong,0,0.000,0.000,0.000,0.000,0.000
INTU,184.28B,75.1,Strong,0,0.000,0.000,0.000,0.000,0.000
AWI,7.89B,75.0,Strong,0,0.000,0.000,0.000,0.000,0.000
NXPI,49.52B,74.9,Strong,0,0.000,0.000,0.000,0.000,0.000
HUBB,22.93B,74.5,Strong,0,0.000,0.000,0.000,0.000,0.000
MAS,12.66B,73.8,Strong,1,0.000,0.000,0.000,0.000,0.000
KFY,3.41B,73.6,Strong,0,0.000,0.000,0.000,0.000,0.000
APOG,0.71B,73.5,Strong,0,0.000,0.000,0.000,0.000,0.000
MKTX,6.46B,73.3,Strong,0,0.000,0.000,0.000,0.000,0.000
UAL,30.82B,72.7,Strong,1,0.000,0.000,0.000,0.000,0.000
HSIC,8.44B,72.6,Strong,0,0.000,0.000,0.000,0.000,0.000
CTSH,35.22B,72.3,Strong,0,0.000,0.000,0.000,0.000,0.000
HLIT,1.07B,71.6,Strong,0,0.000,0.000,0.000,0.000,0.000
CXM,1.77B,71.3,Strong,0,0.000,0.000,0.000,0.000,0.000
NATL,2.63B,71.2,Strong,1,0.000,0.000,0.000,0.000,0.000
ECL,73.38B,71.2,Strong,0,0.000,0.000,0.000,0.000,0.000
LKQ,7.81B,71.1,Strong,0,0.000,0.000,0.000,0.000,0.000
LVS,44.37B,71.0,Strong,1,0.000,0.000,0.000,0.000,0.000
CNXN,1.48B,70.9,Strong,0,0.000,0.000,0.000,0.000,0.000
CSCO,309.23B,70.8,Strong,0,0.000,0.000,0.000,0.000,0.000
STRL,10.11B,70.7,Strong,0,0.000,0.000,0.000,0.000,0.000
LYV,31.45B,70.5,Strong,1,0.000,0.000,0.000,0.000,0.000
ABBV,413.11B,70.5,Strong,1,0.000,0.000,0.000,0.000,0.000
CF,13.26B,70.5,Strong,0,0.000,0.000,0.000,0.000,0.000
HCA,108.52B,70.5,Strong,1,0.000,0.000,0.000,0.000,0.000
PRKS,1.75B,70.4,Strong,1,0.000,0.000,0.000,0.000,0.000
SCVL,0.47B,70.4,Strong,0,0.000,0.000,0.000,0.000,0.000
GES,0.89B,70.3,Strong,1,0.000,0.000,0.000,0.000,0.000
PAYX,40.38B,70.2,Strong,0,0.000,0.000,0.000,0.000,0.000
