==========================================================================================
OPPORTUNITY DISCOVERY — GATE FAILURES (271 tickers)
==========================================================================================

Ticker    Failures                                                         Opp
AGX       asset_growth>0.4                                                46.3
MS        f_score<5                                                       46.1
INSW      beneish_m>-1.78                                                 46.0
AESI      f_score<5                                                       46.0
DCH       f_score<5                                                       45.9
TOL       f_score<5                                                       45.9
NXT       f_score<5                                                       45.9
GEHC      f_score<5                                                       45.9
OLN       f_score<5                                                       45.8
IQV       f_score<5                                                       45.7
AMR       f_score<5, beneish_m>-1.78                                      45.7
XNCR      f_score<5                                                       45.7
PKG       f_score<5                                                       45.7
CNS       f_score<5, accrual_ratio>0.1, beneish_m>-1.78                   45.7
APD       f_score<5                                                       45.6
ONTO      f_score<5                                                       45.6
FOUR      asset_growth>0.4                                                45.6
BBT       asset_growth>0.4, beneish_m>-1.78                               45.5
DFH       f_score<5                                                       45.5
LYB       f_score<5                                                       45.5
PEB       f_score<5                                                       45.4
RDNT      f_score<5                                                       45.3
HP        f_score<5                                                       45.3
ARCB      f_score<5                                                       45.3
HL        beneish_m>-1.78                                                 45.2
REZI      f_score<5                                                       45.1
BLD       f_score<5                                                       45.0
SATS      f_score<5                                                       45.0
MTH       f_score<5                                                       44.9
SMCI      asset_growth>0.4                                                44.8
HNI       asset_growth>0.4, beneish_m>-1.78                               44.7
CSR       beneish_m>-1.78                                                 44.7
HTLD      f_score<5                                                       44.3
KNF       f_score<5                                                       44.2
INVA      beneish_m>-1.78                                                 44.2
LEN       f_score<5                                                       44.1
PAYX      asset_growth>0.4                                                44.0
MARA      f_score<5, beneish_m>-1.78                                      44.0
CG        f_score<5, accrual_ratio>0.1                                    43.9
VST       f_score<5                                                       43.8
CR        asset_growth>0.4                                                43.8
AVAV      f_score<5                                                       43.7
VRTS      f_score<5                                                       43.6
SNEX      asset_growth>0.4                                                43.6
EVRG      beneish_m>-1.78                                                 43.5
JBTM      f_score<5, asset_growth>0.4, beneish_m>-1.78                    43.2
CELH      asset_growth>0.4                                                43.2
WLK       f_score<5                                                       43.2
MPT       f_score<5                                                       43.1
AVB       f_score<5                                                       43.1
CVNA      asset_growth>0.4                                                43.1
PBF       f_score<5                                                       43.1
APH       asset_growth>0.4                                                43.1
STEP      asset_growth>0.4                                                43.0
VCTR      asset_growth>0.4                                                42.9
HCC       f_score<5                                                       42.9
PNW       f_score<5                                                       42.8
ASTH      f_score<5, asset_growth>0.4                                     42.8
GME       asset_growth>0.4                                                42.8
F         f_score<5, beneish_m>-1.78                                      42.7
VNOM      f_score<5, asset_growth>0.4                                     42.6
AXON      asset_growth>0.4                                                42.4
LIF       asset_growth>0.4                                                42.3
CSW       f_score<5, asset_growth>0.4                                     42.2
WT        asset_growth>0.4                                                42.2
DOW       f_score<5                                                       42.2
TLN       f_score<5, asset_growth>0.4                                     42.1
WY        f_score<5                                                       42.0
SLG       f_score<5                                                       41.9
CPAY      asset_growth>0.4                                                41.8
NXRT      f_score<5                                                       41.8
ESE       f_score<5                                                       41.7
CLF       f_score<5                                                       41.6
JBLU      f_score<5                                                       41.5
LGIH      f_score<5                                                       41.4
SXI       asset_growth>0.4                                                41.2
BWXT      asset_growth>0.4                                                41.2
MRNA      f_score<5                                                       40.8
FN        f_score<5                                                       40.7
NPK       f_score<5                                                       40.6
SITM      asset_growth>0.4                                                40.6
LYFT      asset_growth>0.4, accrual_ratio>0.1, beneish_m>-1.78            40.4
JEF       f_score<5                                                       40.4
DY        asset_growth>0.4                                                40.2
AAON      f_score<5, asset_growth>0.4, beneish_m>-1.78                    40.0
BRO       asset_growth>0.4                                                40.0
CNR       f_score<5, asset_growth>0.4                                     40.0
BLK       f_score<5                                                       39.9
CTRE      asset_growth>0.4, beneish_m>-1.78                               39.9
DNOW      f_score<5, asset_growth>0.4                                     39.7
VIR       f_score<5                                                       39.3
GATX      asset_growth>0.4                                                39.2
SABR      accrual_ratio>0.1, beneish_m>-1.78                              39.2
AMCR      asset_growth>0.4, beneish_m>-1.78                               39.1
BG        f_score<5, asset_growth>0.4, beneish_m>-1.78                    39.1
WD        f_score<5, accrual_ratio>0.1, beneish_m>-1.78                   39.0
FLR       f_score<5                                                       38.9
RCUS      f_score<5, accrual_ratio>0.1                                    38.6
LGND      asset_growth>0.4                                                38.1
RYN       beneish_m>-1.78                                                 38.1
CME       asset_growth>0.4                                                37.9
HOOD      asset_growth>0.4, beneish_m>-1.78                               37.8
ACMR      f_score<5, asset_growth>0.4                                     37.5
SNPS      f_score<5, asset_growth>0.4                                     36.8
RGLD      asset_growth>0.4                                                36.5
CLSK      asset_growth>0.4, accrual_ratio>0.1                             34.8
MP        asset_growth>0.4                                                34.0
ROIV      f_score<5                                                       33.6
