Ticker,Market_Cap,Quality_Score,Tier,Red_Flags,Gross_Profitability,ROE,ROIC,FCF_Yield,Operating_Profitability
EZPW,1.09B,73.8,Strong,0,0.000,0.000,0.000,0.000,0.000
WHD,2.82B,73.7,Strong,0,0.000,0.000,0.000,0.000,0.000
CBRL,0.63B,73.6,Strong,1,0.000,0.000,0.000,0.000,0.000
DG,22.70B,73.6,Strong,1,0.000,0.000,0.000,0.000,0.000
MPWR,42.56B,73.6,Strong,0,0.000,0.000,0.000,0.000,0.000
KFY,3.33B,73.6,Strong,0,0.000,0.000,0.000,0.000,0.000
APOG,0.73B,73.5,Strong,0,0.000,0.000,0.000,0.000,0.000
MGY,4.30B,73.5,Strong,0,0.000,0.000,0.000,0.000,0.000
JNJ,480.85B,73.4,Strong,0,0.000,0.000,0.000,0.000,0.000
MKTX,6.50B,73.2,Strong,0,0.000,0.000,0.000,0.000,0.000
WU,2.87B,73.0,Strong,1,0.000,0.000,0.000,0.000,0.000
EVTC,1.81B,73.0,Strong,1,0.000,0.000,0.000,0.000,0.000
UAL,29.01B,72.7,Strong,1,0.000,0.000,0.000,0.000,0.000
ECG,4.54B,72.6,Strong,0,0.000,0.000,0.000,0.000,0.000
SIG,3.93B,72.5,Strong,0,0.000,0.000,0.000,0.000,0.000
BR,26.41B,72.5,Strong,0,0.000,0.000,0.000,0.000,0.000
AMPH,1.21B,72.4,Strong,0,0.000,0.000,0.000,0.000,0.000
CTSH,34.76B,72.4,Strong,0,0.000,0.000,0.000,0.000,0.000
COLL,1.43B,72.4,Strong,1,0.000,0.000,0.000,0.000,0.000
HSIC,8.68B,72.3,Strong,0,0.000,0.000,0.000,0.000,0.000
GIS,25.07B,72.1,Strong,0,0.000,0.000,0.000,0.000,0.000
LOW,126.90B,72.1,Strong,1,0.000,0.000,0.000,0.000,0.000
DAL,36.41B,72.1,Strong,0,0.000,0.000,0.000,0.000,0.000
GPI,4.94B,72.0,Strong,0,0.000,0.000,0.000,0.000,0.000
CMCSA,101.00B,71.9,Strong,0,0.000,0.000,0.000,0.000,0.000
GRBK,2.68B,71.7,Strong,0,0.000,0.000,0.000,0.000,0.000
HLIT,1.07B,71.6,Strong,0,0.000,0.000,0.000,0.000,0.000
UNH,291.57B,71.6,Strong,0,0.000,0.000,0.000,0.000,0.000
NATL,2.54B,71.5,Strong,1,0.000,0.000,0.000,0.000,0.000
CXM,1.72B,71.5,Strong,0,0.000,0.000,0.000,0.000,0.000
MO,97.49B,71.3,Strong,1,0.000,0.000,0.000,0.000,0.000
LDOS,24.33B,71.2,Strong,0,0.000,0.000,0.000,0.000,0.000
ECL,72.88B,71.2,Strong,0,0.000,0.000,0.000,0.000,0.000
LKQ,7.83B,71.1,Strong,0,0.000,0.000,0.000,0.000,0.000
HAL,23.12B,71.1,Strong,0,0.000,0.000,0.000,0.000,0.000
LVS,44.62B,71.0,Strong,1,0.000,0.000,0.000,0.000,0.000
CNXN,1.45B,70.9,Strong,0,0.000,0.000,0.000,0.000,0.000
CSCO,307.72B,70.8,Strong,0,0.000,0.000,0.000,0.000,0.000
LYV,30.59B,70.8,Strong,1,0.000,0.000,0.000,0.000,0.000
STRL,10.22B,70.6,Strong,0,0.000,0.000,0.000,0.000,0.000
KO,306.66B,70.5,Strong,0,0.000,0.000,0.000,0.000,0.000
WDC,55.69B,70.5,Strong,0,0.000,0.000,0.000,0.000,0.000
CF,13.13B,70.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ABBV,413.53B,70.5,Strong,1,0.000,0.000,0.000,0.000,0.000
PRKS,1.72B,70.4,Strong,1,0.000,0.000,0.000,0.000,0.000
SCVL,0.46B,70.4,Strong,0,0.000,0.000,0.000,0.000,0.000
GES,0.88B,70.4,Strong,1,0.000,0.000,0.000,0.000,0.000
A,41.18B,70.3,Strong,0,0.000,0.000,0.000,0.000,0.000
PAYX,39.78B,70.3,Strong,0,0.000,0.000,0.000,0.000,0.000
HCA,110.84B,70.3,Strong,1,0.000,0.000,0.000,0.000,0.000
GEHC,32.64B,70.2,Strong,0,0.000,0.000,0.000,0.000,0.000
DRI,20.11B,70.0,Strong,1,0.000,0.000,0.000,0.000,0.000
