Ticker,Quality_Score,Tier,Red_Flags,Gross_Profitability,ROE,ROIC,FCF_Yield,Operating_Profitability
SYY,91.2,Elite,1,0.000,0.000,0.000,0.000,0.000
FTNT,91.2,Elite,0,0.000,0.000,0.000,0.000,0.000
IBP,91.2,Elite,0,0.000,0.000,0.000,0.000,0.000
WDFC,91.2,Elite,0,0.000,0.000,0.000,0.000,0.000
VRSK,91.1,Elite,1,0.000,0.000,0.000,0.000,0.000
ADMA,90.6,Elite,0,0.000,0.000,0.000,0.000,0.000
ABNB,90.3,Elite,0,0.000,0.000,0.000,0.000,0.000
PEP,90.1,Elite,1,0.000,0.000,0.000,0.000,0.000
MA,90.1,Elite,1,0.000,0.000,0.000,0.000,0.000
TJX,90.0,Elite,0,0.000,0.000,0.000,0.000,0.000
AAPL,89.8,Elite,0,0.000,0.000,0.000,0.000,0.000
GOLF,89.8,Elite,0,0.000,0.000,0.000,0.000,0.000
KLAC,89.7,Elite,0,0.000,0.000,0.000,0.000,0.000
HAS,89.7,Elite,1,0.000,0.000,0.000,0.000,0.000
MNST,89.5,Elite,0,0.000,0.000,0.000,0.000,0.000
CTAS,89.5,Elite,0,0.000,0.000,0.000,0.000,0.000
GOOGL,89.1,Elite,0,0.000,0.000,0.000,0.000,0.000
GOOG,89.1,Elite,0,0.000,0.000,0.000,0.000,0.000
SHW,88.9,Elite,1,0.000,0.000,0.000,0.000,0.000
ROL,88.9,Elite,0,0.000,0.000,0.000,0.000,0.000
FAST,88.8,Elite,0,0.000,0.000,0.000,0.000,0.000
COST,88.6,Elite,0,0.000,0.000,0.000,0.000,0.000
LRN,88.4,Elite,0,0.000,0.000,0.000,0.000,0.000
ACN,88.3,Elite,0,0.000,0.000,0.000,0.000,0.000
APAM,88.3,Elite,0,0.000,0.000,0.000,0.000,0.000
LRCX,87.9,Elite,0,0.000,0.000,0.000,0.000,0.000
RHI,87.9,Elite,0,0.000,0.000,0.000,0.000,0.000
AEO,87.8,Elite,0,0.000,0.000,0.000,0.000,0.000
GDDY,87.6,Elite,1,0.000,0.000,0.000,0.000,0.000
IDXX,87.4,Elite,0,0.000,0.000,0.000,0.000,0.000
NVDA,87.3,Elite,0,0.000,0.000,0.000,0.000,0.000
CAKE,87.2,Elite,1,0.000,0.000,0.000,0.000,0.000
AMAT,87.1,Elite,0,0.000,0.000,0.000,0.000,0.000
KR,86.9,Elite,1,0.000,0.000,0.000,0.000,0.000
EME,86.8,Elite,0,0.000,0.000,0.000,0.000,0.000
ASO,86.8,Elite,0,0.000,0.000,0.000,0.000,0.000
APP,86.7,Elite,1,0.000,0.000,0.000,0.000,0.000
EXPE,86.6,Elite,1,0.000,0.000,0.000,0.000,0.000
XPEL,86.4,Elite,0,0.000,0.000,0.000,0.000,0.000
NKE,86.4,Elite,0,0.000,0.000,0.000,0.000,0.000
HNI,86.3,Elite,0,0.000,0.000,0.000,0.000,0.000
TSCO,86.1,Elite,1,0.000,0.000,0.000,0.000,0.000
CSGS,86.0,Elite,1,0.000,0.000,0.000,0.000,0.000
EOG,85.9,Elite,0,0.000,0.000,0.000,0.000,0.000
ATEN,85.8,Elite,0,0.000,0.000,0.000,0.000,0.000
CNK,85.8,Elite,1,0.000,0.000,0.000,0.000,0.000
PBI,85.7,Elite,0,0.000,0.000,0.000,0.000,0.000
RMD,85.5,Elite,0,0.000,0.000,0.000,0.000,0.000
TPL,85.4,Elite,0,0.000,0.000,0.000,0.000,0.000
MSI,85.2,Elite,1,0.000,0.000,0.000,0.000,0.000
ROST,85.1,Elite,0,0.000,0.000,0.000,0.000,0.000
LLY,85.1,Elite,1,0.000,0.000,0.000,0.000,0.000
ALLE,84.9,Strong,0,0.000,0.000,0.000,0.000,0.000
PJT,84.9,Strong,0,0.000,0.000,0.000,0.000,0.000
MOH,84.7,Strong,0,0.000,0.000,0.000,0.000,0.000
PHM,84.6,Strong,0,0.000,0.000,0.000,0.000,0.000
PRDO,84.4,Strong,0,0.000,0.000,0.000,0.000,0.000
EBAY,84.0,Strong,0,0.000,0.000,0.000,0.000,0.000
CNR,84.0,Strong,0,0.000,0.000,0.000,0.000,0.000
ODFL,83.9,Strong,0,0.000,0.000,0.000,0.000,0.000
WAT,83.8,Strong,0,0.000,0.000,0.000,0.000,0.000
CRVL,83.8,Strong,0,0.000,0.000,0.000,0.000,0.000
UPBD,83.7,Strong,1,0.000,0.000,0.000,0.000,0.000
BCC,83.6,Strong,0,0.000,0.000,0.000,0.000,0.000
TILE,83.4,Strong,0,0.000,0.000,0.000,0.000,0.000
IDCC,83.3,Strong,0,0.000,0.000,0.000,0.000,0.000
MC,83.3,Strong,0,0.000,0.000,0.000,0.000,0.000
PG,83.0,Strong,0,0.000,0.000,0.000,0.000,0.000
BOX,83.0,Strong,1,0.000,0.000,0.000,0.000,0.000
GPC,82.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ADSK,82.4,Strong,0,0.000,0.000,0.000,0.000,0.000
EPAC,82.3,Strong,0,0.000,0.000,0.000,0.000,0.000
TT,82.1,Strong,0,0.000,0.000,0.000,0.000,0.000
CDW,82.0,Strong,1,0.000,0.000,0.000,0.000,0.000
OXM,81.9,Strong,0,0.000,0.000,0.000,0.000,0.000
WWW,81.8,Strong,1,0.000,0.000,0.000,0.000,0.000
UHS,81.7,Strong,0,0.000,0.000,0.000,0.000,0.000
BMI,81.3,Strong,0,0.000,0.000,0.000,0.000,0.000
AAMI,81.0,Strong,1,0.000,0.000,0.000,0.000,0.000
WMT,81.0,Strong,0,0.000,0.000,0.000,0.000,0.000
CMG,81.0,Strong,0,0.000,0.000,0.000,0.000,0.000
PODD,80.7,Strong,0,0.000,0.000,0.000,0.000,0.000
OGN,80.5,Strong,1,0.000,0.000,0.000,0.000,0.000
V,80.2,Strong,0,0.000,0.000,0.000,0.000,0.000
MCO,80.0,Strong,1,0.000,0.000,0.000,0.000,0.000
AVY,80.0,Strong,0,0.000,0.000,0.000,0.000,0.000
GIII,79.8,Strong,0,0.000,0.000,0.000,0.000,0.000
FDS,79.4,Strong,0,0.000,0.000,0.000,0.000,0.000
URBN,79.1,Strong,0,0.000,0.000,0.000,0.000,0.000
BRC,79.0,Strong,0,0.000,0.000,0.000,0.000,0.000
SNA,78.8,Strong,0,0.000,0.000,0.000,0.000,0.000
ATGE,78.8,Strong,0,0.000,0.000,0.000,0.000,0.000
TER,78.6,Strong,0,0.000,0.000,0.000,0.000,0.000
EA,78.6,Strong,0,0.000,0.000,0.000,0.000,0.000
PGNY,78.4,Strong,0,0.000,0.000,0.000,0.000,0.000
CNS,78.4,Strong,0,0.000,0.000,0.000,0.000,0.000
AMZN,78.4,Strong,0,0.000,0.000,0.000,0.000,0.000
DXPE,78.1,Strong,0,0.000,0.000,0.000,0.000,0.000
DXCM,77.7,Strong,0,0.000,0.000,0.000,0.000,0.000
EXPD,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
LQDT,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ANET,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
JKHY,77.5,Strong,0,0.000,0.000,0.000,0.000,0.000
UPS,77.3,Strong,0,0.000,0.000,0.000,0.000,0.000
ACLS,77.1,Strong,0,0.000,0.000,0.000,0.000,0.000
NFLX,77.1,Strong,0,0.000,0.000,0.000,0.000,0.000
ALGN,77.1,Strong,0,0.000,0.000,0.000,0.000,0.000
DVA,77.1,Strong,1,0.000,0.000,0.000,0.000,0.000
TNC,76.7,Strong,0,0.000,0.000,0.000,0.000,0.000
CDNS,76.6,Strong,0,0.000,0.000,0.000,0.000,0.000
ETD,76.5,Strong,0,0.000,0.000,0.000,0.000,0.000
ACAD,76.4,Strong,0,0.000,0.000,0.000,0.000,0.000
VCTR,76.3,Strong,0,0.000,0.000,0.000,0.000,0.000
MSFT,76.2,Strong,0,0.000,0.000,0.000,0.000,0.000
MCRI,75.9,Strong,0,0.000,0.000,0.000,0.000,0.000
SEE,75.8,Strong,1,0.000,0.000,0.000,0.000,0.000
GRMN,75.6,Strong,0,0.000,0.000,0.000,0.000,0.000
POWL,75.6,Strong,0,0.000,0.000,0.000,0.000,0.000
LZB,75.5,Strong,0,0.000,0.000,0.000,0.000,0.000
K,75.5,Strong,0,0.000,0.000,0.000,0.000,0.000
CORT,75.2,Strong,0,0.000,0.000,0.000,0.000,0.000
INTU,75.2,Strong,0,0.000,0.000,0.000,0.000,0.000
ENR,75.1,Strong,1,0.000,0.000,0.000,0.000,0.000
AWI,74.9,Strong,0,0.000,0.000,0.000,0.000,0.000
NXPI,74.7,Strong,0,0.000,0.000,0.000,0.000,0.000
NRG,74.7,Strong,1,0.000,0.000,0.000,0.000,0.000
FELE,74.6,Strong,0,0.000,0.000,0.000,0.000,0.000
TROW,74.5,Strong,0,0.000,0.000,0.000,0.000,0.000
HUBB,74.3,Strong,0,0.000,0.000,0.000,0.000,0.000
UBER,74.3,Strong,0,0.000,0.000,0.000,0.000,0.000
MTCH,74.2,Strong,1,0.000,0.000,0.000,0.000,0.000
PI,74.1,Strong,0,0.000,0.000,0.000,0.000,0.000
ETSY,74.1,Strong,1,0.000,0.000,0.000,0.000,0.000
CAT,74.0,Strong,0,0.000,0.000,0.000,0.000,0.000
EZPW,74.0,Strong,0,0.000,0.000,0.000,0.000,0.000
WHD,73.7,Strong,0,0.000,0.000,0.000,0.000,0.000
CBRL,73.6,Strong,1,0.000,0.000,0.000,0.000,0.000
JNJ,73.6,Strong,0,0.000,0.000,0.000,0.000,0.000
KFY,73.6,Strong,0,0.000,0.000,0.000,0.000,0.000
APOG,73.5,Strong,0,0.000,0.000,0.000,0.000,0.000
DG,73.5,Strong,1,0.000,0.000,0.000,0.000,0.000
MAS,73.5,Strong,1,0.000,0.000,0.000,0.000,0.000
MPWR,73.5,Strong,0,0.000,0.000,0.000,0.000,0.000
WLY,73.5,Strong,0,0.000,0.000,0.000,0.000,0.000
MGY,73.5,Strong,0,0.000,0.000,0.000,0.000,0.000
MKTX,73.3,Strong,0,0.000,0.000,0.000,0.000,0.000
EVTC,73.0,Strong,1,0.000,0.000,0.000,0.000,0.000
WU,73.0,Strong,1,0.000,0.000,0.000,0.000,0.000
UAL,72.7,Strong,1,0.000,0.000,0.000,0.000,0.000
SIG,72.5,Strong,0,0.000,0.000,0.000,0.000,0.000
AMPH,72.4,Strong,0,0.000,0.000,0.000,0.000,0.000
ECG,72.4,Strong,0,0.000,0.000,0.000,0.000,0.000
COLL,72.4,Strong,1,0.000,0.000,0.000,0.000,0.000
HSIC,72.4,Strong,0,0.000,0.000,0.000,0.000,0.000
CTSH,72.1,Strong,0,0.000,0.000,0.000,0.000,0.000
GIS,72.1,Strong,0,0.000,0.000,0.000,0.000,0.000
GPI,72.0,Strong,0,0.000,0.000,0.000,0.000,0.000
CMCSA,71.9,Strong,0,0.000,0.000,0.000,0.000,0.000
LOW,71.8,Strong,1,0.000,0.000,0.000,0.000,0.000
GRBK,71.6,Strong,0,0.000,0.000,0.000,0.000,0.000
HLIT,71.4,Strong,0,0.000,0.000,0.000,0.000,0.000
MO,71.3,Strong,1,0.000,0.000,0.000,0.000,0.000
LDOS,71.2,Strong,0,0.000,0.000,0.000,0.000,0.000
CXM,71.2,Strong,0,0.000,0.000,0.000,0.000,0.000
DAL,71.2,Strong,0,0.000,0.000,0.000,0.000,0.000
LKQ,71.1,Strong,0,0.000,0.000,0.000,0.000,0.000
UNH,71.1,Strong,0,0.000,0.000,0.000,0.000,0.000
HAL,71.1,Strong,0,0.000,0.000,0.000,0.000,0.000
ECL,71.1,Strong,0,0.000,0.000,0.000,0.000,0.000
LVS,71.0,Strong,1,0.000,0.000,0.000,0.000,0.000
CNXN,70.9,Strong,0,0.000,0.000,0.000,0.000,0.000
CSCO,70.9,Strong,0,0.000,0.000,0.000,0.000,0.000
NATL,70.9,Strong,1,0.000,0.000,0.000,0.000,0.000
WDC,70.6,Strong,0,0.000,0.000,0.000,0.000,0.000
STRL,70.5,Strong,0,0.000,0.000,0.000,0.000,0.000
KO,70.5,Strong,0,0.000,0.000,0.000,0.000,0.000
HCA,70.5,Strong,1,0.000,0.000,0.000,0.000,0.000
CF,70.5,Strong,0,0.000,0.000,0.000,0.000,0.000
PRKS,70.4,Strong,1,0.000,0.000,0.000,0.000,0.000
LYV,70.4,Strong,1,0.000,0.000,0.000,0.000,0.000
SCVL,70.4,Strong,0,0.000,0.000,0.000,0.000,0.000
ABBV,70.3,Strong,1,0.000,0.000,0.000,0.000,0.000
GES,70.3,Strong,1,0.000,0.000,0.000,0.000,0.000
PAYX,70.3,Strong,0,0.000,0.000,0.000,0.000,0.000
A,70.1,Strong,0,0.000,0.000,0.000,0.000,0.000
